ability_id,ability_name,formula_hex,route,status,status_byte_index,status_mask_hex,runtime_status_name,operation,resist_category,resist_stat,offense_stat,duration_policy,bundle_size,readiness,mechanism,rationale
5,Raise,0x0D,revive_or_percent_heal,Dead,0,0x20,ko,remove-ko,lifecycle,none,native-revive-rule,immediate,1,native-lifecycle-preserved,preserve_native_revive,The native revive action owns KO removal and lifecycle state. DCL may rewrite only the staged HP credit and must not clear status byte 0 directly.
6,Arise,0x0D,revive_or_percent_heal,Dead,0,0x20,ko,remove-ko,lifecycle,none,native-revive-rule,immediate,1,native-lifecycle-preserved,preserve_native_revive,The native revive action owns KO removal and lifecycle state. DCL may rewrite only the staged HP credit and must not clear status byte 0 directly.
7,Reraise,0x0B,status_or_buff,Reraise,2,0x20,reraise,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
8,Regen,0x0B,status_or_buff,Regen,3,0x40,regen,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
9,Protect,0x0B,status_or_buff,Protect,3,0x20,protect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
10,Protectja,0x0B,status_or_buff,Protect,3,0x20,protect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
11,Shell,0x0B,status_or_buff,Shell,3,0x10,shell,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
12,Shellja,0x0B,status_or_buff,Shell,3,0x10,shell,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
13,Wall,0x0B,status_or_buff,Protect,3,0x20,protect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,2,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
13,Wall,0x0B,status_or_buff,Shell,3,0x10,shell,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,2,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
14,Esuna,0x0B,status_or_buff,Petrify,1,0x80,petrify,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Darkness,1,0x20,blind,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Confusion,1,0x10,confuse,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Silence,1,0x08,silence,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Berserk,2,0x08,berserk,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Frog,2,0x02,frog,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Poison,3,0x80,poison,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Sleep,4,0x10,sleep,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,DontMove,4,0x08,immobilize,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,DontAct,4,0x04,disable,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
28,Poison,0x0A,magical_status,Poison,3,0x80,poison,add-harmful,physical-body,base-HP,authored-skill-or-MA,authoring-required,1,surface-ready,dcl_status_contest,Poison follows its physical affliction nature even when delivered by a spell.
29,Toad,0x0A,magical_status,Frog,2,0x02,frog,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
30,Death,0x0E,special_hp_damage,Dead,0,0x20,ko,add-harmful,lifecycle,explicit-rule,explicit-rule,lifecycle,1,lifecycle-mechanism-required,explicit_lifecycle_rule,Status byte 0 is intentionally outside generic DclStatusRule writes and needs KO/crystal-safe handling.
32,Haste,0x0B,status_or_buff,Haste,3,0x08,haste,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
33,Hasteja,0x0B,status_or_buff,Haste,3,0x08,haste,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
34,Slow,0x0A,magical_status,Slow,3,0x04,slow,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
35,Slowja,0x0A,magical_status,Slow,3,0x04,slow,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
36,Stop,0x0A,magical_status,Stop,3,0x02,stop,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
37,Immobilize,0x0A,magical_status,DontMove,4,0x08,immobilize,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
38,Float,0x0B,status_or_buff,Float,2,0x40,float,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
39,Reflect,0x0B,status_or_buff,Reflect,4,0x02,reflect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
46,Umbra,0x0A,magical_status,Darkness,1,0x20,blind,add-harmful,unresolved-nature,design-decision-required,design-decision-required,authoring-required,1,design-decision-required,dcl_status_policy_required,"The DCL status chapter does not yet assign this status to physical, mental, or magical resistance."
49,Belief,0x0A,magical_status,Faith,4,0x80,faith,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
50,Disbelief,0x0A,magical_status,Innocent,4,0x40,innocent,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
51,Corruption,0x0A,magical_status,Undead,0,0x10,undead,add-harmful,unresolved-nature,design-decision-required,design-decision-required,authoring-required,1,design-decision-required,dcl_status_policy_required,"The DCL status chapter does not yet assign this status to physical, mental, or magical resistance."
52,Quiescence,0x0A,magical_status,Silence,1,0x08,silence,add-harmful,unresolved-nature,design-decision-required,design-decision-required,authoring-required,1,design-decision-required,dcl_status_policy_required,"The DCL status chapter does not yet assign this status to physical, mental, or magical resistance."
53,Fervor,0x0A,magical_status,Berserk,2,0x08,berserk,add-harmful,mental-will,high-Brave,authored-skill-or-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly moves will-override mental statuses onto Brave resistance.
55,Delirium,0x0A,magical_status,Confusion,1,0x10,confuse,add-harmful,mental-will,high-Brave,authored-skill-or-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly moves will-override mental statuses onto Brave resistance.
56,Harmony,0x0A,magical_status,Float,2,0x40,float,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
56,Harmony,0x0A,magical_status,Reraise,2,0x20,reraise,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
56,Harmony,0x0A,magical_status,Transparent,2,0x10,invisible,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
56,Harmony,0x0A,magical_status,Regen,3,0x40,regen,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
56,Harmony,0x0A,magical_status,Protect,3,0x20,protect,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
56,Harmony,0x0A,magical_status,Shell,3,0x10,shell,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
56,Harmony,0x0A,magical_status,Haste,3,0x08,haste,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
56,Harmony,0x0A,magical_status,Faith,4,0x80,faith,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
56,Harmony,0x0A,magical_status,Reflect,4,0x02,reflect,remove-negative,none,none,none,immediate,9,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
57,Hesitation,0x0A,magical_status,DontAct,4,0x04,disable,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
58,Repose,0x0A,magical_status,Sleep,4,0x10,sleep,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
59,Induration,0x0A,magical_status,Petrify,1,0x80,petrify,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
66,Carbuncle,0x0B,status_or_buff,Reflect,4,0x02,reflect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
71,Sylph,0x0A,magical_status,Silence,1,0x08,silence,add-harmful,unresolved-nature,design-decision-required,design-decision-required,authoring-required,1,design-decision-required,dcl_status_policy_required,"The DCL status chapter does not yet assign this status to physical, mental, or magical resistance."
80,Ame-no-Murakumo,0x20,noncanonical_magic_or_hybrid_damage,Slow,3,0x04,slow,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
81,Kiyomori,0x22,status_or_buff,Protect,3,0x20,protect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,2,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
81,Kiyomori,0x22,status_or_buff,Shell,3,0x10,shell,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,2,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
82,Muramasa,0x20,noncanonical_magic_or_hybrid_damage,Confusion,1,0x10,confuse,add-harmful,mental-will,high-Brave,authored-skill-or-MA,authoring-required,2,surface-ready,dcl_status_contest,DCL explicitly moves will-override mental statuses onto Brave resistance.
82,Muramasa,0x20,noncanonical_magic_or_hybrid_damage,DeathSentence,4,0x01,doom,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,2,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
84,Masamune,0x22,status_or_buff,Regen,3,0x40,regen,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,2,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
84,Masamune,0x22,status_or_buff,Haste,3,0x08,haste,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,2,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
91,Nameless Song,0x1C,song_or_dance,Reraise,2,0x20,reraise,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,5,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
91,Nameless Song,0x1C,song_or_dance,Regen,3,0x40,regen,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,5,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
91,Nameless Song,0x1C,song_or_dance,Protect,3,0x20,protect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,5,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
91,Nameless Song,0x1C,song_or_dance,Shell,3,0x10,shell,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,5,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
91,Nameless Song,0x1C,song_or_dance,Haste,3,0x08,haste,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,5,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
98,Forbidden Dance,0x1D,song_or_dance,Darkness,1,0x20,blind,add-harmful,unresolved-nature,design-decision-required,design-decision-required,authoring-required,8,design-decision-required,dcl_status_policy_required,"The DCL status chapter does not yet assign this status to physical, mental, or magical resistance."
98,Forbidden Dance,0x1D,song_or_dance,Confusion,1,0x10,confuse,add-harmful,mental-will,high-Brave,authored-skill-or-MA,authoring-required,8,surface-ready,dcl_status_contest,DCL explicitly moves will-override mental statuses onto Brave resistance.
98,Forbidden Dance,0x1D,song_or_dance,Silence,1,0x08,silence,add-harmful,unresolved-nature,design-decision-required,design-decision-required,authoring-required,8,design-decision-required,dcl_status_policy_required,"The DCL status chapter does not yet assign this status to physical, mental, or magical resistance."
98,Forbidden Dance,0x1D,song_or_dance,Frog,2,0x02,frog,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,8,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
98,Forbidden Dance,0x1D,song_or_dance,Poison,3,0x80,poison,add-harmful,physical-body,base-HP,authored-skill-or-MA,authoring-required,8,surface-ready,dcl_status_contest,Poison follows its physical affliction nature even when delivered by a spell.
98,Forbidden Dance,0x1D,song_or_dance,Slow,3,0x04,slow,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,8,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
98,Forbidden Dance,0x1D,song_or_dance,Stop,3,0x02,stop,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,8,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
98,Forbidden Dance,0x1D,song_or_dance,Sleep,4,0x10,sleep,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,8,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
104,Doom Fist,0x50,physical_status,DeathSentence,4,0x01,doom,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
105,Purification,0x33,physical_status,Petrify,1,0x80,petrify,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,Darkness,1,0x20,blind,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,Confusion,1,0x10,confuse,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,Silence,1,0x08,silence,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,Berserk,2,0x08,berserk,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,Frog,2,0x02,frog,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,Poison,3,0x80,poison,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,Sleep,4,0x10,sleep,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,DontMove,4,0x08,immobilize,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
105,Purification,0x33,physical_status,DontAct,4,0x04,disable,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
107,Revive,0x35,revive_or_percent_heal,Dead,0,0x20,ko,remove-ko,lifecycle,none,native-revive-rule,immediate,1,native-lifecycle-preserved,preserve_native_revive,The native revive action owns KO removal and lifecycle state. DCL may rewrite only the staged HP credit and must not clear status byte 0 directly.
109,Steal Heart,0x29,gender_gated_status,Charm,4,0x20,charm,add-harmful,mental-will,high-Brave,authored-skill-or-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly moves will-override mental statuses onto Brave resistance.
116,Entice,0x2A,talk_trait_or_status,Invite,1,0x40,traitor,add-harmful,campaign-side-effect,design-decision-required,design-decision-required,campaign,1,campaign-mechanism-required,campaign_recruitment_rule,Invite/traitor changes battle allegiance and may affect recruitment; it is not an ordinary temporary bit.
122,Condemn,0x2A,talk_trait_or_status,DeathSentence,4,0x01,doom,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
124,Insult,0x2A,talk_trait_or_status,Berserk,2,0x08,berserk,add-harmful,mental-will,high-Brave,authored-skill-or-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly moves will-override mental statuses onto Brave resistance.
125,Mimic Darlavon,0x2A,talk_trait_or_status,Sleep,4,0x10,sleep,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
126,Sinkhole,0x24,noncanonical_magic_or_hybrid_damage,DontMove,4,0x08,immobilize,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
127,Torrent,0x24,noncanonical_magic_or_hybrid_damage,Frog,2,0x02,frog,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
128,Tanglevine,0x24,noncanonical_magic_or_hybrid_damage,Stop,3,0x02,stop,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
129,Contortion,0x24,noncanonical_magic_or_hybrid_damage,Petrify,1,0x80,petrify,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
130,Tremor,0x24,noncanonical_magic_or_hybrid_damage,Confusion,1,0x10,confuse,add-harmful,mental-will,high-Brave,authored-skill-or-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly moves will-override mental statuses onto Brave resistance.
131,Wind Slash,0x24,noncanonical_magic_or_hybrid_damage,DontAct,4,0x04,disable,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
132,Will-o'-the-Wisp,0x24,noncanonical_magic_or_hybrid_damage,Sleep,4,0x10,sleep,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
133,Quicksand,0x24,noncanonical_magic_or_hybrid_damage,DeathSentence,4,0x01,doom,add-harmful,magical-inverted,inverse-Faith,caster-MA,authoring-required,1,surface-ready,dcl_status_contest,DCL explicitly assigns this magical status to inverse-Faith resistance.
134,Sandstorm,0x24,noncanonical_magic_or_hybrid_damage,Darkness,1,0x20,blind,add-harmful,unresolved-nature,design-decision-required,design-decision-required,authoring-required,1,design-decision-required,dcl_status_policy_required,"The DCL status chapter does not yet assign this status to physical, mental, or magical resistance."
