ability_id,ability_name,formula_hex,native_mode,native_statuses,authority_class,state,owner,next_gate
5,Raise,0x0D,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
6,Arise,0x0D,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
7,Reraise,0x0B,AllOrNothing,Reraise,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
8,Regen,0x0B,AllOrNothing,Regen,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
9,Protect,0x0B,AllOrNothing,Protect,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
10,Protectja,0x0B,AllOrNothing,Protect,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
11,Shell,0x0B,AllOrNothing,Shell,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
12,Shellja,0x0B,AllOrNothing,Shell,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
13,Wall,0x0B,AllOrNothing,Protect|Shell,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
14,Esuna,0x0B,Cancel,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
28,Poison,0x0A,AllOrNothing,Poison,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
29,Toad,0x0A,AllOrNothing,Frog,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
30,Death,0x0E,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
32,Haste,0x0B,AllOrNothing,Haste,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
33,Hasteja,0x0B,AllOrNothing,Haste,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
34,Slow,0x0A,AllOrNothing,Slow,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
35,Slowja,0x0A,AllOrNothing,Slow,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
36,Stop,0x0A,AllOrNothing,Stop,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
37,Immobilize,0x0A,AllOrNothing,DontMove,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
38,Float,0x0B,AllOrNothing,Float,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
39,Reflect,0x0B,AllOrNothing,Reflect,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
46,Umbra,0x0A,AllOrNothing,Darkness,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
49,Belief,0x0A,AllOrNothing,Faith,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
50,Disbelief,0x0A,AllOrNothing,Innocent,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
51,Corruption,0x0A,AllOrNothing,Undead,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
52,Quiescence,0x0A,AllOrNothing,Silence,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
53,Fervor,0x0A,AllOrNothing,Berserk,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
55,Delirium,0x0A,AllOrNothing,Confusion,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
56,Harmony,0x0A,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
57,Hesitation,0x0A,AllOrNothing,DontAct,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
58,Repose,0x0A,AllOrNothing,Sleep,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
59,Induration,0x0A,AllOrNothing,Petrify,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
66,Carbuncle,0x0B,AllOrNothing,Reflect,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
71,Sylph,0x0A,AllOrNothing,Silence,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
80,Ame-no-Murakumo,0x20,AllOrNothing,Slow,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
81,Kiyomori,0x22,AllOrNothing,Protect|Shell,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
82,Muramasa,0x20,Random,Confusion|DeathSentence,special-transaction,producer-required,iaido-random-status,Map Muramasa's one-of choice before its status finalizer.
84,Masamune,0x22,AllOrNothing,Regen|Haste,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
91,Nameless Song,0x1C,Random,Reraise|Regen|Protect|Shell|Haste,special-transaction,mapped-live-gated,performance-status,Bind Nameless Song's random buff to the performance cadence owner.
98,Forbidden Dance,0x1D,Random,Darkness|Confusion|Silence|Frog|Poison|Slow|Stop|Sleep,special-transaction,mapped-live-gated,performance-status,Bind Forbidden Dance's random ailment to the performance cadence owner.
104,Doom Fist,0x50,AllOrNothing,DeathSentence,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
105,Purification,0x33,Cancel,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,conditional-producer,producer-required,exact formula-0x33 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
107,Revive,0x35,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
109,Steal Heart,0x29,AllOrNothing,Charm,conditional-producer,producer-required,exact formula-0x29 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
116,Entice,0x2A,AllOrNothing,Invite,conditional-producer,producer-required,exact formula-0x2A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
122,Condemn,0x2A,AllOrNothing,DeathSentence,conditional-producer,producer-required,exact formula-0x2A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
124,Insult,0x2A,AllOrNothing,Berserk,conditional-producer,producer-required,exact formula-0x2A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
125,Mimic Darlavon,0x2A,AllOrNothing,Sleep,conditional-producer,producer-required,exact formula-0x2A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
126,Sinkhole,0x24,AllOrNothing,DontMove,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
127,Torrent,0x24,AllOrNothing,Frog,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
128,Tanglevine,0x24,AllOrNothing,Stop,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
129,Contortion,0x24,AllOrNothing,Petrify,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
130,Tremor,0x24,AllOrNothing,Confusion,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
131,Wind Slash,0x24,AllOrNothing,DontAct,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
132,Will-o'-the-Wisp,0x24,AllOrNothing,Sleep,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
133,Quicksand,0x24,AllOrNothing,DeathSentence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
134,Sandstorm,0x24,AllOrNothing,Darkness,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
135,Snowstorm,0x24,AllOrNothing,Silence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
136,Wind Blast,0x24,AllOrNothing,Slow,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
137,Magma Surge,0x24,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
149,Salve,0x38,Cancel,Darkness|Silence|Poison,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
155,Judgment Blade,0x2D,Separate,Stop,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
156,Cleansing Strike,0x2D,Separate,DeathSentence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
157,Northswain's Strike,0x2D,Separate,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
158,Hallowed Bolt,0x2D,Separate,Silence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
159,Divine Ruination,0x2D,Separate,Confusion,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
167,Dispelna,0x0B,Cancel,Petrify|Confusion|Silence|BloodSuck|Frog|Poison|Stop|Sleep|DontMove|DontAct,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
168,Celestial Stasis,0x41,AllOrNothing,Stop|DontMove|DontAct,conditional-producer,producer-required,exact formula-0x41 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
173,Celestial Void,0x1E,Random,Darkness|Confusion|Silence|Frog|Poison|Slow|Sleep,special-transaction,mapped-live-gated,randomfire-status-rider,Prove per-target/per-strike status cardinality with the RandomFire gate.
179,Corporeal Void,0x1F,Random,Darkness|Confusion|Silence|Frog|Poison|Slow|Sleep,special-transaction,mapped-live-gated,randomfire-status-rider,Prove per-target/per-strike status cardinality with the RandomFire gate.
181,Petrify,0x38,AllOrNothing,Petrify,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
182,Shadowbind,0x38,AllOrNothing,Stop,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
183,Suffocate,0x38,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
187,Petrify,0x38,AllOrNothing,Petrify,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
188,Fowlheart,0x38,AllOrNothing,DontAct,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
189,Embrace,0x38,AllOrNothing,DontMove,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
190,Darkness,0x38,AllOrNothing,Darkness,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
191,Aphony,0x38,AllOrNothing,Silence,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
192,Befuddle,0x38,AllOrNothing,Confusion,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
193,Bind,0x38,AllOrNothing,Stop,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
194,Nightmare,0x38,Random,Sleep|DeathSentence,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
195,Ague,0x38,AllOrNothing,Slow,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
200,Blood Drain,0x47,AllOrNothing,BloodSuck,special-transaction,mechanism-mapped,bloodsuck-drain,Compose Blood Suck with the paired HP-drain transaction.
201,Charm,0x29,AllOrNothing,Charm,conditional-producer,producer-required,exact formula-0x29 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
202,Bio,0x08,Separate,Darkness,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
203,Bio,0x08,Separate,Poison,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
204,Bio,0x08,Separate,Oil,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
205,Biora,0x0A,AllOrNothing,Frog,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
206,Biora,0x0A,AllOrNothing,Slow,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
207,Biora,0x0A,AllOrNothing,Silence,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
208,Biora,0x0A,AllOrNothing,Petrify,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
209,Bioga,0x08,Separate,Undead,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
210,Bioga,0x08,Separate,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
211,Bioga,0x08,Separate,Petrify,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
212,Aegis,0x0B,AllOrNothing,Reraise|Regen|Protect|Shell|Haste,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
213,Leg Shot,0x3F,AllOrNothing,DontMove,conditional-producer,producer-required,exact formula-0x3F pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
214,Arm Shot,0x3F,AllOrNothing,DontAct,conditional-producer,producer-required,exact formula-0x3F pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
215,Seal Evil,0x40,AllOrNothing,Petrify,conditional-producer,producer-required,exact formula-0x40 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
219,Crushing Blow,0x67,Separate,Stop,special-transaction,mechanism-mapped,custom-physical-status,Author Crushing Blow's final status policy on its mapped formula alias.
221,Toadja,0x0A,AllOrNothing,Frog,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
224,Blindja,0x0A,AllOrNothing,Darkness,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
227,Confuseja,0x0A,AllOrNothing,Confusion,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
228,Sleepja,0x0A,AllOrNothing,Sleep,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
232,Dispelja,0x0A,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
234,Blind,0x0A,AllOrNothing,Darkness,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
237,Faith,0x0A,AllOrNothing,Faith,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
238,Doubt,0x0A,AllOrNothing,Innocent,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
239,Zombie,0x0A,AllOrNothing,Undead,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
240,Silence,0x0A,AllOrNothing,Silence,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
241,Berserk,0x0A,AllOrNothing,Berserk,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
243,Confuse,0x0A,AllOrNothing,Confusion,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
244,Dispel,0x0A,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
245,Disable,0x0A,AllOrNothing,DontAct,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
246,Sleep,0x0A,AllOrNothing,Sleep,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
247,Break,0x0A,AllOrNothing,Petrify,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
251,Dragon's Charm,0x5A,AllOrNothing,Invite,conditional-producer,producer-required,exact formula-0x5A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
252,Dragon's Gift,0x5B,Cancel,Darkness|Confusion|Silence|Oil|Berserk|Frog|Poison|Stop|Sleep|DontMove|DontAct,special-transaction,mechanism-mapped,dragon-gated-cure,Preserve Dragon eligibility and own the complete cancel packet.
262,Finishing Touch,0x38,Random,Dead|Petrify|Stop,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
268,Choco Esuna,0x51,Cancel,Petrify|Darkness|Silence|Poison|Stop|DontMove|DontAct,conditional-producer,producer-required,exact formula-0x51 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
273,Eye Gouge,0x50,AllOrNothing,Darkness,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
277,Self-Destruct,0x52,AllOrNothing,Oil,special-transaction,mechanism-mapped,self-destruct-rider,Compose Oil with the paired victim/caster Self-Destruct result.
282,Blaster,0x3D,Random,Petrify|Stop,conditional-producer,producer-required,exact formula-0x3D pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
283,Venom Fang,0x50,AllOrNothing,Poison,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
284,Blood Drain,0x47,Separate,BloodSuck,special-transaction,mechanism-mapped,bloodsuck-drain,Compose Blood Suck with the paired HP-drain transaction.
286,Ink,0x50,AllOrNothing,Darkness,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
287,Dischord,0x38,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
288,Mind Blast,0x3D,Random,Confusion|Berserk,conditional-producer,producer-required,exact formula-0x3D pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
296,Zombie Touch,0x50,AllOrNothing,Undead,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
297,Sleep Touch,0x50,AllOrNothing,Sleep,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
299,Oily Touch,0x50,AllOrNothing,Oil,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
301,Bewitching Gaze,0x50,Random,Petrify|Darkness|Silence|DontMove|DontAct,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
304,Doom,0x3D,AllOrNothing,DeathSentence,conditional-producer,producer-required,exact formula-0x3D pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
306,Beak,0x50,AllOrNothing,Petrify,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
311,Snort,0x29,AllOrNothing,Charm,conditional-producer,producer-required,exact formula-0x29 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
312,Squeal,0x35,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
313,Toot,0x38,Random,Confusion|Sleep,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
314,Bequeath Bacon,0x57,AllOrNothing,Crystal,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
316,Guardian Nymph,0x51,AllOrNothing,Protect,conditional-producer,producer-required,exact formula-0x51 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
317,Shell Nymph,0x51,AllOrNothing,Shell,conditional-producer,producer-required,exact formula-0x51 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
326,Lick,0x38,AllOrNothing,Reflect,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
327,Goo,0x38,AllOrNothing,DontMove,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
328,Bad Breath,0x38,Separate,Petrify|Darkness|Confusion|Silence|Oil|Frog|Poison|Sleep,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
331,Heave,0x31,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
344,Dark Whisper,0x5E,Separate,Dead|Sleep,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
346,Poisonous Frog,0x38,AllOrNothing,Frog|Poison,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
350,Grand Cross,0x38,Separate,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Slow|Sleep,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
352,Compress,0x42,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
356,Parasite,0x38,Separate,Petrify|Darkness|Confusion|Silence|Oil|Frog|Poison|Sleep,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
357,Unholy Sacrifice,0x69,AllOrNothing,Slow,special-transaction,mechanism-mapped,custom-magic-status,Author Unholy Sacrifice's Slow rider on its mapped damage formula.
360,Plunder Heart,0x29,AllOrNothing,Charm,conditional-producer,producer-required,exact formula-0x29 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
