area,mechanism,owner,status,current,evidence,remaining
Numeric core,"Shared rounding, 3d6, forecast and RNG contract",deep-combat-layer/17,mechanism-ready,"The DCL has one numerical owner for rounding, clamps, universal success rolls, criticals, Quick Contests, exact forecast spaces, and percentage rolls. A battle-scoped execution ledger caches semantic battle/Action/source/target/Strike/site/index identities for 3d6, d6 pools, percentages, and random selection; incompatible reuse fails closed. The conditional Injury planner consumes Major-Wound and concentration draws only when reachable. Every canonical executor with confirmed random sites has a battle-ledger path: direct/Area magic, physical, status/removal/Dispel, Quick, Revive/Reraise, Aim retention, Stun recovery, and Reaction activation. Physical and Area Immediate Damage evaluation enumerate the same reachable Major-Wound HT branches that execution consumes. Physical defense and status resistance share one classifier.",docs/deep-combat-layer/17-numeric-resolution-contract.md; codemod/fftivc.generic.chronicle.codemod/DclNumericContract.cs; codemod/fftivc.generic.chronicle.codemod/DclExecutionRandomLedger.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalInjuryRandomPlanner.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalRecoveryExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalReraiseTriggerExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclSuccessRoll.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Bind these already-owned execution sites to their native confirmed-execution callbacks; there is no remaining canonical executor with unowned RNG.
Action lifecycle,"Outer action, batch, strike and Reaction transaction",deep-combat-layer/18,partial-live-gated,"The runtime transaction model and canonical batch executor own stable battle/unit/action/Strike identity, normalized target order, resolved effect indexes, target-local KO short-circuiting, native-immediate versus deferred effects, pre-batch ResourceFailure, stable commit, and exactly one post-action Reaction window. The battle runtime owns revisioned per-unit defense cadence: cumulative per-weapon/limb Parry attempts and one Block persist across outer actions, commit atomically from the resolved snapshot, reject stale retries, and reset only at the defender's granted-turn boundary. Current-build disassembly proves the native TargetBatch is complete at 0x281EF7 before the first per-target calculation. A battle-owned admission ledger reserves one ActionInstance per nonrepeat sweep or exact contiguous NativeRepeat sequence, rejects stale UnitKeys/count/index/source/action/batch divergence, and preserves native Strike-major apply order. RandomFire remains excluded until its complete repeated target sequence is DCL-owned before resolution.",docs/deep-combat-layer/18-action-transactions-and-reactions.md; codemod/fftivc.generic.chronicle.codemod/DclActionTransaction.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalTransactionExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalBattleRuntime.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeOuterActionAdmission.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeDirectExecutionComposer.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutionCoordinator.cs; tools/analyze_dcl_outer_action_batch.py; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Invoke the admission ledger and DirectNumeric composer from the proven affected-target boundary, add the remaining synchronized family inputs, then bind the published transaction to native result/apply, Reaction commit, player forecast, and AI."
Characteristics,Primary/secondary attributes and pool reconciliation,deep-combat-layer/01,partial-live-gated,"The pure resolver owns additive ST/DX/IQ, every Brave-to-HT anchor, HP/MP/Will, exact Basic Lift and quarter-point Basic Speed, Move/Jump/Dodge derivation, and nonhealing pool reconciliation. The native unit adapter composes proven raw fields with explicit adjustments and refuses execution while native HP/MP maxima or current pools are unsynchronized with the canonical snapshot. Its input composer places equipment attributes, pools, Will, Speed, Move, and Jump into named channels exactly once while preserving explicit non-equipment/job/state values. A source-owned batch now joins current observed UnitKeys, native rows, normalized equipment, battle state/revision, finite defenses, tile height, and those explicit characteristic inputs at one immutable capture boundary; duplicate/stale identities and hybrid pools fail closed.",codemod/fftivc.generic.chronicle.codemod/DclCharacteristics.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeSnapshotAdapter.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeSnapshotBatch.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind reinterpreted character/state inputs and pool synchronization to native storage, then prove battle/UI refresh without inventing draft-job values, healing, or Injury events."
Turns,"Rank initiative, fixed CT cadence, and Movement/Action resources",deep-combat-layer/02,partial-live-gated,"The pure resolver sorts exact Basic Speed/DX/stable slot, assigns rank CT, applies fixed global gain with exact Haste/Slow/Stop, resets granted turns to zero, and spends independent Movement/Action resources. A battle-owned transactional timeline interleaves charged actions, tick-before-expiry state events, and eligible turns without advancing through a pending ActionInstance or active turn. Same-CT turn ties use descending current CT, initial initiative rank, and stable slot.",codemod/fftivc.generic.chronicle.codemod/DclCharacteristics.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalTimelineScheduler.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Map quarter-point CT storage and bind the canonical timeline to native GlobalCT/turn grants, then preserve FFT Movement/Action ordering and UI legality."
Physical,Aptitude skills and active-defense formulas,deep-combat-layer/03,partial-live-gated,"The canonical aptitude table, GURPS skill bands, Dodge/Parry/Block formulas, defense priority, exact ParryLoad precedence, and BasicLift limit are implemented and tested offline.",codemod/fftivc.generic.chronicle.codemod/DclPhysicalRules.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Load authored aptitude/equipment/state inputs and replace the legacy live physical-contest profile at the per-Strike transaction boundary.
Equipment,Exact Weight and encumbrance bands,deep-combat-layer/06,partial-live-gated,Exact Weight/BasicLift ratios select the five canonical bands and apply floored Move/Jump multipliers plus Dodge penalties at every inclusive boundary.,codemod/fftivc.generic.chronicle.codemod/DclEquipmentAndRanged.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Author/load item Weight and connect the result to native Move, Jump, Dodge, equipment changes, and Critical postprocessing."
Ranged,"Distance, Aim, and projectile defense legality",deep-combat-layer/07,partial-live-gated,"The item-bound canonical physical executor derives Effective Skill from weapon skill, target-bound Aim/Accuracy, exact distance bands, location, and state penalties; requires native range/trajectory before RNG; matches Direct/Arc routing; and filters Bow/Crossbow/Gun/Thrown defenses before selection. A synchronized projector materializes typed Aim and Shock from the exact source-state revision and carries the Aim instance identity. The outer physical commit removes that exact Aim after the shot and before Reaction. Physical, direct-magic, and Area coordinators sample one Aim-retention site per reachable positive Injury, while KO/posture/displacement cancel directly. Direct owner cancellation and tracked-target loss share that lifecycle. Every cancellation or failed retention projects the exact Aim removal beside the same target carrier rather than leaving only an internal registry mutation.",codemod/fftivc.generic.chronicle.codemod/DclEquipmentAndRanged.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAimLifecycle.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalCombatSnapshotMechanics.cs; codemod/fftivc.generic.chronicle.codemod/DclItemMetadata.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Invoke the battle-owned movement/posture/trajectory/target-loss Aim bridges from their proven native callbacks and regress the three coordinated Injury families live.
States,Persistent-state registry and deterministic scheduler,"deep-combat-layer/08,14,18,19",partial-live-gated,"A battle-generation registry owns stable state identities, typed payloads, source binding, stacking, cures and exact-instance removal, every duration clock, evaluation clones, global tick-before-expiry ordering, and a monotonic target-local revision advanced by every accepted mutation. Replacement results retain the exact removed instances rather than only dead ids. NativeStatusBit is the fail-closed storage discriminator: a canonical auxiliary planner maps native overlays to one owned five-byte packet bit while custom states remain registry-only, rejects duplicate semantic bit owners, preserves add-over-remove replacement truth, and carries exact CT/HP-before-KO semantics. The proven pre-clamp apply now stages canonical native packets and exactly representable positive CT deltas with rollback. Direct-magic, Area-magic, and physical status Riders retain their state instance through projection and ledger publication; physical Riders attach to their exact landed Strike. Exact named StatusRemoval evaluation snapshots every current matching InstanceId and shares its all-matching-or-none Beneficial outcome with player forecast and AI. Periodic states now bind a normalized zero-cost PeriodicEffect action to an exact native carrier and source policy. Immediate payloads and scheduled ticks reserve distinct retry-stable outer ActionInstances; the registry cursor advances only after the exact ledger application completes strikes, payment, Reaction policy, and settlement. Target KO, lethal-payer target/source KO cleanup, Aim discharge, and target/source turn expiry all retain and project the exact removed instances; stale lethal-payment cleanup fails before advancing the ledger. A strict deterministic timeline checkpoint preserves definition fingerprints, typed payloads, clocks, rates, turn serials, QuickLock, repeated-Parry counters, Block availability, defense revisions, per-weapon readiness/Unbalanced Parry suppression, pending charged declarations, target revisions, stable state ids, and the ActionInstance cursor; it rebases every UnitKey to a new battle generation and rejects half-commits, unsafe turns, controller disagreement, impossible weapon or defense state, stale authoring/bindings, or identity collisions.",codemod/fftivc.generic.chronicle.codemod/DclAuthoringContract.cs; codemod/fftivc.generic.chronicle.codemod/DclStateRegistry.cs; codemod/fftivc.generic.chronicle.codemod/DclStateRegistryCheckpoint.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalBattleRuntime.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalTimelineCheckpoint.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalStateSnapshot.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeAuxiliaryApply.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeAuxiliaryProjection.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeApplyRouter.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalStatusExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalDispelExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalStatusRemovalExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalStatusRemovalEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/Mod.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Invoke the canonical coordinators from native execution, bind the checkpoint to the native battle save/load owner and pool/equipment/map resynchronization, live-prove status-only and CT carriers, then bind the timeline, periodic carrier invocation, cleanup, and presentation without changing scheduler order."
States,Universal posture and status rules,"deep-combat-layer/05,08,14",partial-live-gated,"Pure rules own strict Critical HP, Stun turn recovery, Knocked Down, raw-Injury Shock, Brave temperament, hostile status/Dispel contests, duration, EffectStrength, and typed payload semantics for the universal custom states. Duration authoring is a closed executable union of fixed, explicit application-owned, or clamped winning-margin rules; registry commit revalidates exact units and status forecast/AI expose exact duration mass. Confirmed physical/direct/Area Injury commits Shock and paired Stun/Knocked Down into the battle registry and carries those exact mutations through native publication. End-of-turn Stun recovery samples one battle-owned Recovery site only for a turn that began Stunned and removes the exact snapshotted instance on success. Aim persists its stable target and consecutive Accuracy steps as a typed payload. Synchronized projectors derive Injury context, Charging, location/Bulwark DR, native/equipment immunity, HT/Will/Spiritual Resistance, exact Taunt action legality, and Guard Broken/slot-bound Weapon Bound/Bulwark defense terms without interpreting MechanicalRules text. One revisioned state plan transforms the same physical Strikes for player forecast, AI, and confirmed execution; every confirmed non-Attack coordinator rejects Taunt before RNG, while the explicit universal normal Attack remains legal only against its active legal provocateur. Exact Dispel evaluation preserves shared-caster correlation across every selected stored EffectStrength and exposes complete removed-instance-set, removed-count, marginal, and expected-count distributions to one player/AI result.",codemod/fftivc.generic.chronicle.codemod/DclPostureAndStatusRules.cs; codemod/fftivc.generic.chronicle.codemod/DclStateDurationRules.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalStatusEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalRecoveryExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalDispelEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclEquipmentAndRanged.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalStateSnapshot.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalCombatSnapshotMechanics.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Connect the exact turn-completion result and recovery owner to the native turn-end callback, bind Taunt to native command/target availability, bind proven native weapon-slot identity into Reaction candidate production, consume Bulwark displacement/passability at their owners, and bind native pose/palette/icon/status packets plus selected-unit detail."
Magic,"Cast declaration, targeting, area, and gate cardinality","deep-combat-layer/09,11,12,13,18,19",partial-live-gated,"Declaration freezes FinalMPCost, ApprovedHPCap, CastCT, due CT, identity, and declaration tile; unit/fixed/caster centers resolve canonically. Positive-CastCT declarations now retain their original ActionInstance/ability in the unified timeline, reject duplicate source Charging, resolve in stable identity order before same-CT state events and turns, and clear only after exact ledger settlement or explicit cancellation. KO, Stun, Knocked Down, explicit incapacity, failed concentration, and voluntary cancellation remove the exact source-bound declaration without target delivery or pool debit; preserved concentration retains its identity and due CT. The Area coordinator validates current observed identities, resolves current centers, freezes native geometric membership in stable order, samples one shared caster draw, owns None/per-Strike Dodge/per-target Quick Contest cardinality, consumes Oil once, updates Absorb HP, stops target-local RNG after KO, and publishes the stable multi-carrier action. Direct and Touch single-target ordered Riders reuse the Carrier roll; Area Riders resolve once per target after its first landed Carrier. All generic families derive None, SuccessRoll, or QuickContest from the state definition, skip RNG on immunity/no landing, and reject Explicit without its named owner. Area Riders materialize exactly once, attach to that Strike's native packet, and support Deferred multi-Strike or any single-Strike profile. Multi-Strike Immediate Area Injury reprojects surviving Major-Wound posture into later Dodge gates; generic Immediate status Riders still fail closed.",codemod/fftivc.generic.chronicle.codemod/DclMagicTargeting.cs; codemod/fftivc.generic.chronicle.codemod/DclMagicActionGates.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalTimelineScheduler.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeDirectExecutionComposer.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Invoke DirectNumeric composition at the native admission boundary; then bind current map/unit snapshots, the canonical timeline, forecast/AI, and native Area enumeration, and define explicit between-Strike semantics before authoring any Immediate multi-Strike status Rider profile."
Position,"Canonical arcs, awareness, Reach, and location DR","deep-combat-layer/04,08",partial-live-gated,"The pure classifier owns inclusive-diagonal Front/Side/Back, lateral shield side, legal-defense modifiers, Blind, immediate/delayed Invisibility, Reach 1/2, and combined versus explicit Body/Head DR.",codemod/fftivc.generic.chronicle.codemod/DclFacingAndTargeting.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the proven native facing byte to cardinal vectors, consume native path/height verdicts, and share the result across forecast, AI, and execution."
Turns,"Ready, Reequip, Stand Up, and equipment action state","deep-combat-layer/02,03,08,18",partial-live-gated,"Canonical Ready, Reequip, and Stand Up system actions spend their exact Action/Movement combination during transaction commit. Their confirmed semantic coordinator requires current battle-owned custom/defense state, rejects Taunt and stale snapshots before Reaction RNG, resolves one exact post-action Reaction window, and uses registered weapon/turn resources. Per-weapon state distinguishes UnreadyAfterAttack from Unbalanced Parry loss, physical attacks update it once per outer action, Stand Up removes Knocked Down, and Reequip preserves every defensive resource.",codemod/fftivc.generic.chronicle.codemod/DclUniversalActions.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalCommandExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalCommandExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutor.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind command availability, equipment identity per hand, native turn grants, selected-equipment presentation, and native command/result carriers."
Progression,Deterministic fractional Character Growth,"deep-combat-layer/01,15",partial-live-gated,"The exact micro-unit core validates six-decimal nonnegative vectors and equal budgets, retains lifetime per-channel fractions across job order, awards each Character Level once, and migrates pre-DCL saves conservatively. Strict deterministic per-character JSON preserves all six accumulators, rejects malformed current records, and retains an unknown newer schema opaquely and byte-for-byte while visibly disabling growth.",codemod/fftivc.generic.chronicle.codemod/DclCharacterGrowth.cs; codemod/fftivc.generic.chronicle.codemod/DclGrowthStateCodec.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind a stable native roster identity and atomic level-up permanent-stat/save writer, then author and validate real job vectors separately from the mechanism."
Lifecycle,"Revive, Reraise, and explicit Undead family policy","deep-combat-layer/14,19",partial-live-gated,"The normalized action and canonical lifecycle executor own eligible states, Immediate versus StoredReraise, exact restored-HP expressions, one-or-explicitly-paid-both Faith axes, explicit Undead routing, HP-credit-before-KO-clear, KO-eligible transaction entry, and persistent trigger materialization. Confirmed immediate Revive validates current identities and owns shared casting/conditional resistance/exact restored-HP dice through the battle ledger. Stored Reraise uses a typed expression/Faith payload; its KO trigger consumes the exact instance, samples only restored-HP dice, stages HP credit before KO clear, and opens no damage Reaction. Exact lifecycle evaluation exposes delivery and explicit Revive-route probabilities, only mixes restored-HP dice into reachable immediate credit, applies Faith/cap exactly, and preserves Stored Reraise as a future expression without premature rolling. Player and AI share that result. Rejected, ineligible, stored, and ResourceFailure paths consume no premature restored-HP RNG.",codemod/fftivc.generic.chronicle.codemod/DclReviveAndUndead.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalReviveExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalReviveEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalReraiseTriggerExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclActionTransaction.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Invoke the now-published lifecycle plans from the proven native HP/revive/death-clock/Reraise apply and presentation callbacks, then author each real effect family's explicit Undead table row."
Presentation,"Persistent-state position, palette, icon, and detail resolver","deep-combat-layer/08,09,19",partial-live-gated,"The pure resolver owns canonical one-position and palette precedence, KO suppression, Invisibility layering, symbolic existing-asset icons, Shock counters, and complete selected-state detail from the normalized instance.",codemod/fftivc.generic.chronicle.codemod/DclStatePresentation.cs; codemod/fftivc.generic.chronicle.codemod/DclStateRegistry.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Resolve symbolic assets through the native catalogs and bind pose, palette, icon row, selection detail, and command disablement UI."
Forecast,Correlated multi-target magic probability,"deep-combat-layer/09,12,13,17",partial-live-gated,"Exact rational enumeration shares the one caster or Touch attack draw, then branches target-relative SpellScore, critical bypass, per-Strike active defense, per-target delivery Quick Contest, and each Rider's authored None, SuccessRoll, or QuickContest gate after Carrier landing. Direct/Touch evaluation exposes per-Rider application mass; Area evaluation exposes the full delivered-target-count distribution, per-target any-delivery and gate-landing expectations, immunity-aware Rider probability, exact KO-aware total HP debit/credit distributions, and lossless player/AI projections. ResourceFailure stops before target evaluation. Critical Area healing uses the same maximize-one-die expression in evaluation and execution. One RNG-free dispatcher now selects every implemented family evaluator from the atomic ability classification and returns both projections under the same ability identity.",codemod/fftivc.generic.chronicle.codemod/DclMagicCorrelatedForecast.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalAreaMagicEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalEvaluationDispatcher.cs; codemod/fftivc.generic.chronicle.codemod/DclMagicResolution.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the exact correlated result to native player area forecast and AI valuation; strategic AI weights remain authored metadata, not alternate mechanics."
States,"Bulwark, Overwatch, Cover/Bodyguard, and QuickLock mechanics","deep-combat-layer/02,08,14,18",partial-live-gated,"Canonical prepared-state payloads keep persistent uses synchronized with Bulwark cancellation, settled-movement-only Overwatch, full weapon/source/target/range/trajectory revalidation, protection redirect legality, and loop-safe Quick/QuickLock. Confirmed Quick owns its shared casting site through the battle ledger before atomically granting CT and materializing QuickLock. Exact Quick evaluation validates current CT plus controller/persistent-lock agreement and shares one Beneficial delivery, CT-credit, resource, and lock probability result across player forecast and AI. The unified timeline grants Quick's immediately eligible same-CT turn and clears controller plus exact persistent lock together only when that granted turn completes. Unsettled movement returns before all Overwatch revalidation and can never pause or fire tile by tile.",codemod/fftivc.generic.chronicle.codemod/DclPreparedStates.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPreparedStateRuntime.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalQuickExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalQuickEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalTimelineScheduler.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the canonical timeline to native CT/turn events and bind the prepared bridge to post-route movement, trajectory, action reservation, redirect/result, expiry, and visible-link carriers."
